Zeit;Kanal A
(ms);(V)

0,00000000;0,67144440
0,04995200;0,65280510
0,09990400;0,67144440
0,14985600;0,67144440
0,19980800;0,67144440
0,24976000;0,67144440
0,29971200;0,65280510
0,34966399;0,67144440
0,39961599;0,67144440
0,44956799;0,67144440
0,49951999;0,67144440
0,54947199;0,67144440
0,59942399;0,65280510
0,64937599;0,67144440
0,69932799;0,67144440
0,74927999;0,67144440
0,79923199;0,67144440
0,84918399;0,67144440
0,89913599;0,67144440
0,94908799;0,67144440
0,99903998;0,67144440
1,04899198;0,67144440
1,09894398;0,67144440
1,14889598;0,65280510
1,19884798;0,67144440
1,24879998;0,65280510
1,29875198;0,67144440
1,34870398;0,67144440
1,39865598;0,67144440
1,44860798;0,65280510
1,49855998;0,67144440
1,54851198;0,67144440
1,59846398;0,67144440
1,64841598;0,67144440
1,69836797;0,67144440
1,74831997;0,67144440
1,79827197;0,67144440
1,84822397;0,67144440
1,89817597;0,65280510
1,94812797;0,67144440
1,99807997;0,65280510
2,04803197;0,67144440
2,09798397;0,67144440
2,14793597;0,67144440
2,19788797;0,67144440
2,24783997;0,65280510
2,29779197;0,65280510
2,34774396;0,67144440
2,39769596;0,65280510
2,44764796;0,65280510
2,49759996;0,65280510
2,54755196;0,67144440
2,59750396;0,65280510
2,64745596;0,67144440
2,69740796;0,67144440
2,74735996;0,65280510
2,79731196;0,67144440
2,84726396;0,67144440
2,89721596;0,65280510
2,94716796;0,67144440
2,99711995;0,67144440
3,04707195;0,67144440
3,09702395;0,67144440
3,14697595;0,67144440
3,19692795;0,65280510
3,24687995;0,67144440
3,29683195;0,65280510
3,34678395;0,65280510
3,39673595;0,67144440
3,44668795;0,67144440
3,49663995;0,67144440
3,54659195;0,67144440
3,59654395;0,67144440
3,64649594;0,67144440
3,69644794;0,67144440
3,74639994;0,67144440
3,79635194;0,65280510
3,84630394;0,65280510
3,89625594;0,67144440
3,94620794;0,67144440
3,99615994;0,69008370
4,04611194;0,67144440
4,09606394;0,67144440
4,14601594;0,67144440
4,19596794;0,67144440
4,24591994;0,67144440
4,29587194;0,67144440
4,34582393;0,65280510
4,39577593;0,67144440
4,44572793;0,67144440
4,49567993;0,67144440
4,54563193;0,65280510
4,59558393;0,65280510
4,64553593;0,67144440
4,69548793;0,65280510
4,74543993;0,65280510
4,79539193;0,67144440
4,84534393;0,65280510
4,89529593;0,67144440
4,94524793;0,67144440
4,99519992;0,65280510
5,04515192;0,67144440
5,09510392;0,67144440
5,14505592;0,65280510
5,19500792;0,65280510
5,24495992;0,65280510
5,29491192;0,65280510
5,34486392;0,67144440
5,39481592;0,67144440
5,44476792;0,67144440
5,49471992;0,65280510
5,54467192;0,65280510
5,59462392;0,67144440
5,64457591;0,67144440
5,69452791;0,65280510
5,74447991;0,65280510
5,79443191;0,67144440
5,84438391;0,65280510
5,89433591;0,67144440
5,94428791;0,67144440
5,99423991;0,67144440
6,04419191;0,65280510
6,09414391;0,67144440
6,14409591;0,67144440
6,19404791;0,67144440
6,24399991;0,67144440
6,29395190;0,67144440
6,34390390;0,67144440
