Zeit (ms),Voltage
0.0,0.4849286
0.049952,0.4849286
0.099904,0.5035679
0.149856,0.4849286
0.199808,0.4849286
0.24976,0.4849286
0.299712,0.4849286
0.34966399,0.4849286
0.39961599,0.4849286
0.44956799,0.4849286
0.49951999,0.4849286
0.54947199,0.4849286
0.59942399,0.4849286
0.64937599,0.4849286
0.69932799,0.4849286
0.74927999,0.4849286
0.79923199,0.4849286
0.84918399,0.4849286
0.89913599,0.4849286
0.94908799,0.4849286
0.99903998,0.4849286
1.04899198,0.4849286
1.09894398,0.4662894
1.14889598,0.4849286
1.19884798,0.4849286
1.24879998,0.4849286
1.29875198,0.4849286
1.34870398,0.4849286
1.39865598,0.4849286
1.44860798,0.4849286
1.49855998,0.4849286
1.54851198,0.4849286
1.59846398,0.4849286
1.64841598,0.4849286
1.69836797,0.4849286
1.74831997,0.4849286
1.79827197,0.4849286
1.84822397,0.4849286
1.89817597,0.4849286
1.94812797,0.4849286
1.99807997,0.4849286
2.04803197,0.4849286
2.09798397,0.4849286
2.14793597,0.4849286
2.19788797,0.4849286
2.24783997,0.4849286
2.29779197,0.4849286
2.34774396,0.4849286
2.39769596,0.4849286
2.44764796,0.4849286
2.49759996,0.4849286
2.54755196,0.4662894
2.59750396,0.4849286
2.64745596,0.4849286
2.69740796,0.4849286
2.74735996,0.4849286
2.79731196,0.4849286
2.84726396,0.4849286
2.89721596,0.4662894
2.94716796,0.4849286
2.99711995,0.4849286
3.04707195,0.4849286
3.09702395,0.4849286
3.14697595,0.4849286
3.19692795,0.4849286
3.24687995,0.4849286
3.29683195,0.4849286
3.34678395,0.4849286
3.39673595,0.4849286
3.44668795,0.4662894
3.49663995,0.4849286
3.54659195,0.4849286
3.59654395,0.4849286
3.64649594,0.4849286
3.69644794,0.4849286
3.74639994,0.4662894
3.79635194,0.4849286
3.84630394,0.4849286
3.89625594,0.4662894
3.94620794,0.4849286
3.99615994,0.4849286
4.04611194,0.4849286
4.09606394,0.4849286
4.14601594,0.4849286
4.19596794,0.5035679
4.24591994,0.4849286
4.29587194,0.4849286
4.34582393,0.4849286
4.39577593,0.4849286
4.44572793,0.4849286
4.49567993,0.4849286
4.54563193,0.4849286
4.59558393,0.4849286
4.64553593,0.4849286
4.69548793,0.4849286
4.74543993,0.4849286
4.79539193,0.4849286
4.84534393,0.4849286
4.89529593,0.4849286
4.94524793,0.4849286
4.99519992,0.5035679
5.04515192,0.4849286
5.09510392,0.4849286
5.14505592,0.4849286
5.19500792,0.4849286
5.24495992,0.4849286
5.29491192,0.4849286
5.34486392,0.4849286
5.39481592,0.4849286
5.44476792,0.4849286
5.49471992,0.4849286
5.54467192,0.4849286
5.59462392,0.4849286
5.64457591,0.4849286
5.69452791,0.4849286
5.74447991,0.4849286
5.79443191,0.4849286
5.84438391,0.4849286
5.89433591,0.4849286
5.94428791,0.4849286
5.99423991,0.4849286
6.04419191,0.4849286
6.09414391,0.4849286
6.14409591,0.4849286
6.19404791,0.4849286
6.24399991,0.4849286
6.2939519,0.4849286
6.3439039,0.4849286
6.3938559,0.4849286
6.4438079,0.4849286
6.4937599,0.4849286
6.5437119,0.4849286
6.5936639,0.4849286
6.6436159,0.4849286
6.6935679,0.4849286
6.7435199,0.4849286
6.7934719,0.4849286
6.8434239,0.4849286
6.8933759,0.4849286
6.94332789,0.4849286
6.99327989,0.4849286
7.04323189,0.4849286
7.09318389,0.4849286
7.14313589,0.4849286
7.19308789,0.4849286
7.24303989,0.4849286
7.29299189,0.4849286
7.34294389,0.4849286
7.39289589,0.4849286
7.44284789,0.4849286
7.49279989,0.4849286
7.54275189,0.4662894
7.59270389,0.4662894
7.64265588,0.4849286
7.69260788,0.4849286
7.74255988,0.4849286
7.79251188,0.4849286
7.84246388,0.4849286
7.89241588,0.4849286
7.94236788,0.4849286
7.99231988,0.4849286
8.04227188,0.4849286
8.09222388,0.4849286
8.14217588,0.4849286
8.19212788,0.4849286
8.24207988,0.4849286
8.29203187,0.4849286
8.34198387,0.4849286
8.39193587,0.4662894
8.44188787,0.4849286
8.49183987,0.4849286
8.54179187,0.540908
8.59174387,0.4849286
8.64169587,0.4849286
8.69164787,0.4849286
8.74159987,0.5035679
8.79155187,0.5035679
8.84150387,0.4849286
8.89145587,0.4849286
8.94140786,0.4849286
8.99135986,0.4849286
9.04131186,0.4849286
9.09126386,0.4849286
9.14121586,0.4849286
9.19116786,0.4849286
9.24111986,0.4849286
9.29107186,0.4849286
9.34102386,0.4849286
9.39097586,0.4849286
9.44092786,0.4662894
9.49087986,0.4849286
9.54083186,0.4849286
9.59078385,0.4849286
9.64073585,0.4849286
9.69068785,0.4849286
9.74063985,0.4849286
9.79059185,0.4849286
9.84054385,0.4849286
9.89049585,0.4849286
9.94044785,0.4849286
9.99039985,0.4849286
10.04035185,0.4849286
10.09030385,0.4849286
10.14025585,0.4849286
10.19020785,0.4849286
10.24015985,0.4849286
10.29011184,0.4662894
10.34006384,0.4662894
10.39001584,0.4849286
10.43996784,0.4849286
10.48991984,0.4849286
10.53987184,0.4849286
10.58982384,0.4662894
10.63977584,0.4849286
10.68972784,0.4849286
10.73967984,0.4849286
10.78963184,0.4849286
10.83958384,0.4849286
10.88953584,0.4849286
10.93948783,0.4849286
10.98943983,0.5035679
11.03939183,0.4849286
11.08934383,0.4662894
11.13929583,0.4849286
11.18924783,0.4849286
11.23919983,0.4662894
11.28915183,0.4849286
11.33910383,0.4662894
11.38905583,0.4849286
11.43900783,0.4849286
11.48895983,0.4849286
11.53891183,0.4849286
11.58886382,0.4849286
11.63881582,0.4662894
11.68876782,0.4849286
11.73871982,0.4849286
11.78867182,0.4849286
11.83862382,0.4849286
11.88857582,0.4849286
11.93852782,0.4849286
11.98847982,0.4849286
12.03843182,0.4849286
12.08838382,0.4849286
12.13833582,0.4849286
12.18828782,0.4849286
12.23823981,0.4849286
12.28819181,0.4662894
12.33814381,0.4849286
12.38809581,0.4849286
12.43804781,0.4849286
12.48799981,0.4849286
12.53795181,0.4849286
12.58790381,0.4849286
12.63785581,0.4849286
12.68780781,0.4849286
12.73775981,0.4849286
12.78771181,0.4849286
12.83766381,0.4849286
12.88761581,0.4849286
12.9375678,0.4849286
12.9875198,0.4849286
13.0374718,0.4849286
13.0874238,0.4849286
13.1373758,0.4849286
13.1873278,0.4849286
13.2372798,0.4662894
13.2872318,0.4849286
13.3371838,0.4662894
